ZIP,rent_index,weighted_income,median_income_2025,annual_rent,rent_burden,rent_burden_bin
11213,2975.6629647662367,67854.48102880143,71925.74989052952,35707.955577194836,52.62431461532847,50-59%
11214,2373.2461992447093,69922.06665907353,74117.39065861795,28478.95439093651,40.72956614654195,40-49%
11215,3878.8756777968188,165751.46050601525,175696.54813637616,46546.50813356182,28.082110402805537,<30%
11216,3285.7083647897607,94875.34648571599,100567.86727485895,39428.50037747713,41.55821489770613,40-49%
11217,4158.146261605037,153357.99741277087,162559.47725753713,49897.75513926044,32.53678059251001,30-39%
11218,2867.6058354271117,101064.04714116176,107127.88996963148,34411.27002512534,34.048972902362806,30-39%
11220,2518.435753509984,67120.8505971464,71148.10163297519,30221.229042119805,45.025098420616025,40-49%
11221,3402.857824088223,80728.98621985411,85572.72539304536,40834.293889058674,50.58194807234688,50-59%
11222,4530.81890972752,127861.77830865132,135533.4850071704,54369.826916730235,42.52234532941068,40-49%
11223,2527.8446197563453,70694.51470334498,74936.18558554568,30334.135437076144,42.90875404459189,40-49%
11225,3149.6696783189,79484.26487901744,84253.32077175849,37796.0361398268,47.55159552315912,40-49%
11226,2883.863177288256,80767.69501050934,85613.75671113991,34606.35812745907,42.84678190080348,40-49%
11229,2447.6920110561077,74446.29392644722,78913.07156203406,29372.304132673293,39.454353713957964,30-39%
11230,2888.5676054612604,74611.50114249092,79088.19121104038,34662.81126553513,46.457732031603385,40-49%
11231,4292.833796654964,143434.65383770008,152040.7330679621,51514.00555985957,35.9146162949917,30-39%
11232,3075.833420549174,61933.99775251251,65650.03761766326,36910.00104659009,59.595702499428505,50-59%
11233,3190.1842234615997,65409.764261582066,69334.35011727699,38282.210681539196,58.526752257420945,50-59%
11234,2579.806965088842,95287.12834075945,101004.35604120501,30957.683581066103,32.48884095904046,30-39%
11235,2568.230720821417,74436.7010515539,78902.90311464714,30818.768649857004,41.40265247449953,40-49%
11236,2679.442094474369,85717.57875456546,90860.6334798394,32153.305133692425,37.51074820458562,30-39%
11237,3451.3357502965396,73866.05235879909,78298.01550032703,41416.02900355848,56.06909761791935,50-59%
11238,3884.908545086248,137917.9366476582,146193.0128465177,46618.90254103498,33.801914148507926,30-39%
11249,5130.785451881367,117362.13218971856,124403.86012110168,61569.42542257641,52.46106582577082,50-59%
11354,2620.335290042382,67719.8291759134,71783.01892646821,31444.023480508586,46.43252037571973,40-49%
11355,2375.265119051856,56196.292235354136,59568.06976947539,28503.181428622273,50.72075095141311,50-59%
11356,2689.887055869683,91248.58886086856,96723.50419252068,32278.644670436195,35.374404221914176,30-39%
11357,2827.5438964434497,98447.91920451063,104354.79435678128,33930.52675732139,34.46545852008905,30-39%
