GEOID,income_2013,income_2023,income_2013_adj,absolute_change,percent_change,income_change_bin
11224,27481,41449,35725.3,5723.699999999997,16.021418994382124,10–20% growth
11225,42922,85201,55798.6,29402.4,52.69379518482543,Over 50% growth
11226,40734,81084,52954.200000000004,28129.799999999996,53.120998900937025,Over 50% growth
11228,61893,80737,80460.90000000001,276.09999999999127,0.3431480383639647,0–10% growth
11229,51725,72556,67242.5,5313.5,7.901996505186452,0–10% growth
11230,42170,69522,54821,14701,26.816365991134784,20–30% growth
11231,78174,138485,101626.2,36858.8,36.268993625659526,30–40% growth
11232,43595,87517,56673.5,30843.5,54.42314309156837,Over 50% growth
11233,34492,62034,44839.6,17194.4,38.34646160982703,30–40% growth
11234,68431,94434,88960.3,5473.699999999997,6.152969358241819,0–10% growth
11235,41639,61689,54130.700000000004,7558.299999999996,13.963056084624798,10–20% growth
11236,61061,82813,79379.3,3433.699999999997,4.3256869234170585,0–10% growth
11237,40372,82570,52483.6,30086.4,57.325335914457085,Over 50% growth
11238,65315,132957,84909.5,48047.5,56.586718800605354,Over 50% growth
11239,26275,35675,34157.5,1517.5,4.442655346556394,0–10% growth
11354,46566,62833,60535.8,2297.199999999997,3.7947792876281423,0–10% growth
11355,41884,53700,54449.200000000004,-749.2000000000044,-1.3759614466328327,No growth or decline
11356,58465,91445,76004.5,15440.5,20.31524449210244,20–30% growth
11357,71978,97754,93571.40000000001,4182.599999999991,4.4699555633452,0–10% growth
11358,65722,88729,85438.6,3290.399999999994,3.851186700156597,0–10% growth
11359,NA,NA,NA,NA,NA,NA
11360,76183,100250,99037.90000000001,1212.0999999999913,1.223874900416902,0–10% growth
11361,75335,108391,97935.5,10455.5,10.675904038882734,10–20% growth
11362,82332,118989,107031.6,11957.399999999994,11.171840839527759,10–20% growth
11363,90799,110833,118038.7,-7205.699999999997,-6.104523347003989,No growth or decline
11364,72909,101222,94781.7,6440.300000000003,6.794877070151731,0–10% growth
11365,55492,85375,72139.6,13235.399999999994,18.34692734642276,10–20% growth
11366,71350,117402,92755,24647,26.57215244461215,20–30% growth
11367,56608,75804,73590.40000000001,2213.5999999999913,3.0080010436143723,0–10% growth
