GEOID,total_2023,white_2023,black_2023,asian_2023,hispanic_2023,total_2013,white_2013,black_2013,asian_2013,hispanic_2013,geometry,pct_change_white,pct_change_black,pct_change_asian,pct_change_hispanic
36047027600,3791,1121,0,1741,750,3892,952,0,1745,1154,"list(list(c(-74.001302, -74.001073, -74.000911, -74.000739, -73.99958, -73.997171, -73.998313, -73.996338, -73.996922, -73.997503, -73.999454, -74.000021, -74.000935, -74.002665, -74.001302, 40.611068, 40.61183, 40.612388, 40.612555, 40.613669, 40.612215, 40.611084, 40.609894, 40.609335, 40.608775, 40.60995, 40.609386, 40.608637, 40.60957, 40.611068)))",17.752100840336134,0,-0.22922636103151864,-35.008665511265164
36047028300,4098,566,1853,81,1338,3648,141,1776,56,1675,"list(list(c(-73.943526, -73.937792, -73.937631, -73.937484, -73.937342, -73.940265, -73.9431, -73.943243, -73.943388, -73.943526, 40.696031, 40.69669, 40.695951, 40.695219, 40.694485, 40.694148, 40.693823, 40.694558, 40.695289, 40.696031)))",301.41843971631204,4.335585585585585,44.642857142857146,-20.119402985074625
36047028501,427,130,109,59,121,377,137,15,0,225,"list(list(c(-73.944388, -73.941931, -73.938902, -73.938568, -73.943949, -73.944096, -73.944388, 40.700425, 40.700725, 40.699037, 40.698848, 40.698222, 40.698973, 40.700425)))",-5.109489051094891,626.6666666666666,0,-46.22222222222222
36047036002,3777,3076,93,113,21,3320,3089,2,0,101,"list(list(c(-73.963279, -73.962364, -73.961441, -73.959633, -73.959475, -73.959454, -73.959414, -73.961034, -73.962881, -73.963279, 40.577212, 40.577411, 40.57761, 40.577993, 40.575874, 40.575575, 40.575158, 40.575076, 40.574983, 40.577212)))",-0.42084817092910326,4550,0,-79.20792079207921
36047038100,5624,849,3206,75,1181,4813,170,3886,0,675,"list(list(c(-73.928651, -73.928727, -73.929009, -73.926095, -73.922814, -73.92267, -73.922545, -73.922427, -73.922132, -73.921646, -73.924593, -73.925266, -73.929058, -73.928651, 40.679749, 40.681237, 40.682703, 40.683038, 40.683415, 40.682682, 40.681936, 40.681211, 40.679745, 40.67887, 40.679032, 40.679073, 40.679277, 40.679749)))",399.4117647058824,-17.498713329902213,0,74.96296296296296
36047039300,3868,1102,774,292,1513,3730,534,771,63,2358,"list(list(c(-73.935222, -73.932267, -73.929316, -73.928231, -73.92725, -73.926499, -73.927497, -73.926481, -73.927811, -73.931145, -73.931458, -73.931929, -73.933118, -73.935222, 40.696986, 40.697315, 40.69764, 40.696666, 40.696142, 40.695712, 40.694697, 40.694141, 40.692774, 40.694674, 40.694855, 40.695115, 40.695791, 40.696986)))",106.36704119850187,0.38910505836575876,363.4920634920635,-35.83545377438507
36047034300,4489,551,2182,0,1339,5153,256,3509,133,1123,"list(list(c(-73.94186, -73.941694, -73.938895, -73.938841, -73.936078, -73.936177, -73.936263, -73.936343, -73.936406, -73.939177, -73.941945, -73.94186, 40.672968, 40.674748, 40.674599, 40.675493, 40.675335, 40.674378, 40.67356, 40.672704, 40.671774, 40.671926, 40.672078, 40.672968)))",115.234375,-37.817041892277004,-100,19.23419412288513
36047042100,4089,999,385,460,2017,3725,387,354,200,2730,"list(list(c(-73.92725, -73.925273, -73.923833, -73.923082, -73.922328, -73.921574, -73.920824, -73.924249, -73.924995, -73.92575, -73.926499, -73.92725, 40.696142, 40.698161, 40.699628, 40.6992, 40.698772, 40.698345, 40.697918, 40.694429, 40.694855, 40.695285, 40.695712, 40.696142)))",158.13953488372093,8.757062146892656,130,-26.117216117216117
36047045200,2640,2109,64,97,85,2499,2362,0,16,78,"list(list(c(-73.970474, -73.969098, -73.968645, -73.966645, -73.965739, -73.96774, -73.969112, -73.969784, -73.970474, 40.624182, 40.624333, 40.621942, 40.622163, 40.61738, 40.617161, 40.61701, 40.620559, 40.624182)))",-10.711261642675698,0,506.25,8.974358974358974
36047047700,4102,3098,34,335,355,3184,2410,88,222,414,"list(list(c(-73.946791, -73.944405, -73.941956, -73.941094, -73.940492, -73.940022, -73.938696, -73.941218, -73.942066, -73.942687, -73.94317, -73.943285, -73.943427, -73.946744, -73.946791, 40.718821, 40.72024, 40.721652, 40.722309, 40.718679, 40.715813, 40.715323, 40.714707, 40.714729, 40.714692, 40.717517, 40.718226, 40.718934, 40.718548, 40.718821)))",28.547717842323653,-61.36363636363637,50.9009009009009,-14.251207729468598
36047049800,4163,1276,236,1535,780,4373,2124,185,1701,175,"list(list(c(-73.98835, -73.985284, -73.983073, -73.981805, -73.980291, -73.978191, -73.977774, -73.97988, -73.980915, -73.983976, -73.985897, -73.986731, -73.98835, 40.644562, 40.645768, 40.646625, 40.647128, 40.647297, 40.647526, 40.645342, 40.645109, 40.644991, 40.643812, 40.643068, 40.643574, 40.644562)))",-39.92467043314501,27.56756756756757,-9.75896531452087,345.7142857142857
36047044100,4884,1034,269,234,3308,6570,592,70,699,5209,"list(list(c(-73.917068, -73.9156, -73.914386, -73.913292, -73.911807, -73.912904, -73.911422, -73.914061, -73.914815, -73.915565, -73.916316, -73.917068, 40.700548, 40.702046, 40.703239, 40.704313, 40.703435, 40.702362, 40.701487, 40.698838, 40.699266, 40.699693, 40.700122, 40.700548)))",74.66216216216216,284.2857142857143,-66.52360515021459,-36.494528700326356
36047051200,5991,1165,3051,279,1251,6022,343,4041,129,1344,"list(list(c(-73.965468, -73.964535, -73.964903, -73.963984, -73.963075, -73.961935, -73.961672, -73.961214, -73.962162, -73.963125, -73.964087, -73.965012, -73.965468, 40.64672, 40.646819, 40.648721, 40.649085, 40.64944, 40.648511, 40.647115, 40.644723, 40.644617, 40.644512, 40.644407, 40.644302, 40.64672)))",239.65014577259475,-24.498886414253896,116.27906976744185,-6.919642857142857
36047055500,9183,5559,165,865,1783,3789,2412,121,400,719,"list(list(c(-73.967578, -73.966511, -73.965704, -73.96355, -73.959009, -73.961423, -73.962777, -73.966639, -73.967578, 40.716496, 40.717917, 40.718779, 40.721571, 40.718636, 40.716384, 40.715106, 40.716365, 40.716496)))",130.4726368159204,36.36363636363637,116.25,147.98331015299027
36047056200,1865,1569,0,284,0,1683,1529,0,154,0,"list(list(c(-73.949837, -73.947948, -73.946059, -73.94562, -73.945169, -73.946096, -73.947059, -73.948023, -73.94895, -73.949837, 40.606667, 40.606876, 40.607082, 40.604759, 40.602369, 40.60227, 40.602162, 40.602056, 40.601954, 40.606667)))",2.616088947024199,0,84.41558441558442,0
36047057800,2997,1260,65,1132,333,3103,1757,54,1073,179,"list(list(c(-73.953978, -73.953037, -73.951834, -73.949874, -73.949047, -73.951006, -73.95315, -73.953978, 40.601401, 40.601506, 40.601637, 40.601853, 40.597479, 40.597262, 40.597028, 40.601401)))",-28.286852589641434,20.37037037037037,5.4986020503261885,86.03351955307262
36047058600,2289,745,335,1146,52,2621,793,122,1378,328,"list(list(c(-73.956928, -73.955076, -73.95315, -73.952699, -73.9523, -73.95326, -73.956077, -73.956556, -73.956928, 40.596612, 40.596816, 40.597028, 40.594637, 40.592514, 40.592413, 40.592101, 40.594648, 40.596612)))",-6.0529634300126105,174.59016393442624,-16.835994194484762,-84.14634146341463
36047059600,2235,1677,31,480,0,2338,2231,25,56,26,"list(list(c(-73.944012, -73.941233, -73.940201, -73.939238, -73.939641, -73.93778, -73.937375, -73.936985, -73.938837, -73.939796, -73.941754, -73.943609, -73.944012, 40.591265, 40.591572, 40.591684, 40.591789, 40.593922, 40.594126, 40.591995, 40.589871, 40.589671, 40.589565, 40.589349, 40.589147, 40.591265)))",-24.831913939937248,24,757.1428571428571,-100
36047054900,4645,2993,0,226,1098,3402,2388,58,177,693,"list(list(c(-73.96905, -73.968861, -73.968469, -73.967416, -73.964462, -73.962942, -73.961421, -73.962035, -73.962292, -73.962414, -73.968524, -73.969612, -73.96905, 40.712482, 40.71265, 40.712999, 40.7133, 40.712459, 40.711905, 40.711349, 40.710362, 40.709921, 40.709352, 40.710046, 40.71016, 40.712482)))",25.33500837520938,-100,27.683615819209038,58.44155844155844
36047065200,1180,973,79,52,30,1369,1011,48,182,19,"list(list(c(-73.933205, -73.931731, -73.930602, -73.928478, -73.926295, -73.92617, -73.92846, -73.93028, -73.933917, -73.933205, 40.61697, 40.617927, 40.616922, 40.615017, 40.613193, 40.61306, 40.611613, 40.613245, 40.616508, 40.61697)))",-3.7586547972304647,64.58333333333333,-71.42857142857143,57.89473684210526
36047067400,1910,150,1182,229,58,1995,412,837,172,478,"list(list(c(-73.932195, -73.93125, -73.930282, -73.929311, -73.928478, -73.930602, -73.931731, -73.932195, 40.623269, 40.623321, 40.623381, 40.623441, 40.615017, 40.616922, 40.617927, 40.623269)))",-63.592233009708735,41.21863799283154,33.13953488372093,-87.86610878661088
36047077000,2726,450,1914,67,101,2727,325,2120,110,146,"list(list(c(-73.9584, -73.957433, -73.956566, -73.953743, -73.9536, -73.951101, -73.949449, -73.951059, -73.95201, -73.952462, -73.956241, -73.958198, -73.9584, 40.636327, 40.636793, 40.637206, 40.638566, 40.638422, 40.636073, 40.634508, 40.633635, 40.633531, 40.635922, 40.635509, 40.635289, 40.636327)))",38.46153846153846,-9.716981132075471,-39.09090909090909,-30.82191780821918
