Latitude,Longitude,Neighborhood,Full Address,ZIP Code
40.8019008,-73.95310131,Central Harlem,"1883 Adam Clayton Powell Jr Blvd, New York, NY 10026, USA",10026
40.86710167,-73.9200978,Inwood,"150 Vermilyea Ave, New York, NY 10034, USA",10034
40.72841839,-73.98854333,Ukrainian Village,"41-43 E 7th St, New York, NY 10003, USA",10003
40.76509972,-73.98579772,Hell's Kitchen,"354 W 54th St, New York, NY 10019, USA",10019
40.74809949,-73.71140136,Glen Oaks,"260-37 Union Tpke, Glen Oaks, NY 11004, USA",11004
40.74809949,-73.71140136,Glen Oaks,"260-37 Union Tpke, Glen Oaks, NY 11004, USA",11004
40.74839972,-73.9966971,Chelsea,"357A 8th Ave, New York, NY 10001, USA",10001
40.79749876,-73.96829844,Bloomingdale,"842 Amsterdam Ave, New York, NY 10025, USA",10025
40.75449885,-73.59679089,,"9 Poplar St, Westbury, NY 11590, USA",11590
40.73187389,-74.00878135,West Village,"635 Washington St, New York, NY 10014, USA",10014
40.72550146,-73.99829679,SoHo,"163 Mercer St, New York, NY 10012, USA",10012
40.72899879,-73.99910352,South Village,"218 Thompson St, New York, NY 10012, USA",10012
40.7152014,-73.98770166,Lower East Side,"200 E Broadway, New York, NY 10002, USA",10002
40.77692958,-73.95161219,Yorkville,"311 E 85th St, New York, NY 10028, USA",10028
40.77692958,-73.95161219,Yorkville,"311 E 85th St, New York, NY 10028, USA",10028
40.72407078,-73.9910019,Bowery,"7 1/2 2nd Ave, New York, NY 10003, USA",10003
40.84813391,-73.94691337,Manhattan,"12TH Bond St, New York, NY 10032, USA",10032
40.7783465,-73.94684977,Yorkville,"427A E 89th St, New York, NY 10128, USA",10128
40.81159925,-73.95500009,West Harlem,"430 Martin Luther King Blvd, New York, NY 10027, USA",10027
40.84959896,-73.93560261,Washington Heights,"140 Wadsworth Ave, New York, NY 10033, USA",10033
40.86619984,-73.92209799,Inwood,"103 Vermilyea Ave, New York, NY 10034, USA",10034
40.74430135,-73.97810003,Kips Bay,"209 E 32nd St, New York, NY 10016, USA",10016
40.8019008,-73.95310131,Central Harlem,"1883 Adam Clayton Powell Jr Blvd, New York, NY 10026, USA",10026
40.8655375,-73.92730389,Fort George,"Dyckman St, New York, NY 10040, USA",10040
40.74360177,-73.92160066,Sunnyside,"44-37 43rd St, Sunnyside, NY 11104, USA",11104
40.80110152,-73.93709803,East Harlem,"207 E 121st St, New York, NY 10035, USA",10035
40.71426232,-73.9809207,Lower East Side,"530D Grand St, New York, NY 10002, USA",10002
40.79749876,-73.96829844,Bloomingdale,"842 Amsterdam Ave, New York, NY 10025, USA",10025
40.83819939,-73.94200255,Washington Heights,"Broadway/W 164 St, New York, NY 10032, USA",10032
40.76509972,-73.98579772,Hell's Kitchen,"354 W 54th St, New York, NY 10019, USA",10019
40.77334343,-73.94901039,Yorkville,"York Av/E 82 St, New York, NY 10028, USA",10028
40.8302221,-73.94768514,Hamilton Heights,"3660 Broadway, New York, NY 10031, USA",10031
40.81629865,-73.93750139,Central Harlem,"45 W 139th St # 14k, New York, NY 10037, USA",10037
40.80068498,-73.95250715,Central Harlem,"60 St Nicholas Ave, New York, NY 10026, USA",10026
40.81439987,-73.94200255,Central Harlem,"115-117 W 135th St, New York, NY 10030, USA",10030
40.83819939,-73.94200255,Washington Heights,"Broadway/W 164 St, New York, NY 10032, USA",10032
40.81189834,-73.96249954,Morningside Heights,"99 Claremont Ave, New York, NY 10027, USA",10027
40.86847448,-73.92403917,Inwood,"63 Seaman Ave, New York, NY 10034, USA",10034
40.7663121,-73.97768349,Manhattan,"Central Park South/6 Ave, New York, NY 10019, USA",10019
40.72620161,-73.97960233,Alphabet City,"605 E 9th St, New York, NY 10009, USA",10009
40.80305473,-73.93839578,East Harlem,"123 E 123rd St, New York, NY 10035, USA",10035
40.7152014,-73.98770166,Lower East Side,"200 E Broadway, New York, NY 10002, USA",10002
40.7152014,-73.98770166,Lower East Side,"200 E Broadway, New York, NY 10002, USA",10002
40.78942865,-73.94990478,East Harlem,"108 E 101st St, New York, NY 10029, USA",10029
40.76509972,-73.98579772,Hell's Kitchen,"354 W 54th St, New York, NY 10019, USA",10019
40.70836143,-74.0069983,Financial District,"78 John St, New York, NY 10038, USA",10038
40.79749876,-73.96829844,Bloomingdale,"842 Amsterdam Ave, New York, NY 10025, USA",10025
40.8019008,-73.95310131,Central Harlem,"1883 Adam Clayton Powell Jr Blvd, New York, NY 10026, USA",10026
40.79179898,-73.94470003,East Harlem,"1924 3rd Ave, New York, NY 10029, USA",10029
40.79749876,-73.96829844,Bloomingdale,"842 Amsterdam Ave, New York, NY 10025, USA",10025
40.8019008,-73.95310131,Central Harlem,"1883 Adam Clayton Powell Jr Blvd, New York, NY 10026, USA",10026
40.57295947,-74.11499741,New Dorp,"174 New Dorp Ln, Staten Island, NY 10306, USA",10306
40.73695889,-74.00747672,West Village,"36 Bethune St, New York, NY 10014, USA",10014
40.79749876,-73.96829844,Bloomingdale,"842 Amsterdam Ave, New York, NY 10025, USA",10025
40.76509972,-73.98579772,Hell's Kitchen,"354 W 54th St, New York, NY 10019, USA",10019
40.74020012,-73.99960142,Chelsea,"212 W 16th St, New York, NY 10011, USA",10011
40.83899924,-73.94329743,Washington Heights,"106 Fort Washington Ave #1B, New York, NY 10032, USA",10032
40.81369972,-73.95389715,West Harlem,"454 W 128th St, New York, NY 10027, USA",10027
40.82460081,-73.95069718,Hamilton Heights,"530 W 143rd St, New York, NY 10031, USA",10031
40.81159925,-73.95500009,West Harlem,"430 Martin Luther King Blvd, New York, NY 10027, USA",10027
40.79749876,-73.96829844,Bloomingdale,"842 Amsterdam Ave, New York, NY 10025, USA",10025
40.72620161,-73.97960233,Alphabet City,"605 E 9th St, New York, NY 10009, USA",10009
40.7338993,-74.00540033,West Village,"232 W 10th St, New York, NY 10014, USA",10014
40.73067183,-74.00761309,West Village,"625 Greenwich St, New York, NY 10014, USA",10014
40.81562944,-73.95995904,Morningside Heights,"64 Tiemann Pl, New York, NY 10027, USA",10027
40.8019008,-73.95310131,Central Harlem,"1883 Adam Clayton Powell Jr Blvd, New York, NY 10026, USA",10026
40.8019008,-73.95310131,Central Harlem,"1883 Adam Clayton Powell Jr Blvd, New York, NY 10026, USA",10026
40.82610024,-73.81959584,East Bronx,"639 Logan Ave, Bronx, NY 10465, USA",10465
40.86619984,-73.92209799,Inwood,"103 Vermilyea Ave, New York, NY 10034, USA",10034
40.71430013,-74.00600136,Civic Center,"278 W Broadway, New York, NY 10006, USA",10006
40.77630104,-73.95290307,Yorkville,"86 St, 300-398 East 86th St, New York, NY 10028, USA",10028
40.82460081,-73.95069718,Hamilton Heights,"530 W 143rd St, New York, NY 10031, USA",10031
